"name"	"taxRank"	"taxID"	"Mean"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"barcode06.cladeReads"	"barcode07.cladeReads"	"barcode08.cladeReads"	"barcode09.cladeReads"	"barcode10.cladeReads"	"barcode11.cladeReads"	"barcode12.cladeReads"	"barcode13.cladeReads"	"Mean.1"	"barcode01.taxonReads"	"barcode02.taxonReads"	"barcode03.taxonReads"	"barcode04.taxonReads"	"barcode05.taxonReads"	"barcode06.taxonReads"	"barcode07.taxonReads"	"barcode08.taxonReads"	"barcode09.taxonReads"	"barcode10.taxonReads"	"barcode11.taxonReads"	"barcode12.taxonReads"	"barcode13.taxonReads"	"Mean.2"	"barcode01.cladeReads.."	"barcode02.cladeReads.."	"barcode03.cladeReads.."	"barcode04.cladeReads.."	"barcode05.cladeReads.."	"barcode06.cladeReads.."	"barcode07.cladeReads.."	"barcode08.cladeReads.."	"barcode09.cladeReads.."	"barcode10.cladeReads.."	"barcode11.cladeReads.."	"barcode12.cladeReads.."	"barcode13.cladeReads.."	"Mean.3"	"barcode01.taxonReads.."	"barcode02.taxonReads.."	"barcode03.taxonReads.."	"barcode04.taxonReads.."	"barcode05.taxonReads.."	"barcode06.taxonReads.."	"barcode07.taxonReads.."	"barcode08.taxonReads.."	"barcode09.taxonReads.."	"barcode10.taxonReads.."	"barcode11.taxonReads.."	"barcode12.taxonReads.."	"barcode13.taxonReads.."	"lineage"
"Capnocytophaga cynodegmi"	"S"	28189	12.769	NA	21	NA	20	NA	29	NA	24	25	NA	26	21	NA	12.769	NA	21	NA	20	NA	29	NA	24	25	NA	26	21	NA	0.00079831	NA	0.001357	NA	0.00147	NA	0.001314	NA	0.001157	0.001865	NA	0.001616	0.001599	NA	0.00079831	NA	0.001357	NA	0.00147	NA	0.001314	NA	0.001157	0.001865	NA	0.001616	0.001599	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga"
"Flagellimonas sp. CMM7"	"S"	2654676	4	NA	11	NA	10	NA	NA	NA	NA	NA	16	15	NA	NA	4	NA	11	NA	10	NA	NA	NA	NA	NA	16	15	NA	NA	0.00026056	NA	0.0007108	NA	0.000735	NA	NA	NA	NA	NA	0.001009	0.0009325	NA	NA	0.00026056	NA	0.0007108	NA	0.000735	NA	NA	NA	NA	NA	0.001009	0.0009325	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flagellimonas>unclassified&nbsp;Flagellimonas"
"Christiangramia sp. OXR-203"	"S"	3100176	9.6154	NA	12	NA	NA	NA	13	11	12	20	21	23	13	NA	9.6154	NA	12	NA	NA	NA	13	11	12	20	21	23	13	NA	0.0005967	NA	0.0007754	NA	NA	NA	0.0005889	0.0005776	0.0005785	0.001492	0.001325	0.00143	0.0009897	NA	0.0005967	NA	0.0007754	NA	NA	NA	0.0005889	0.0005776	0.0005785	0.001492	0.001325	0.00143	0.0009897	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Christiangramia>unclassified&nbsp;Christiangramia"
"Nonlabens sp. Ci31"	"S"	2608253	4.0769	NA	11	NA	NA	NA	NA	NA	NA	10	10	11	11	NA	4.0769	NA	11	NA	NA	NA	NA	NA	NA	10	10	11	11	NA	0.00027758	NA	0.0007108	NA	NA	NA	NA	NA	NA	0.0007459	0.0006307	0.0006838	0.0008374	NA	0.00027758	NA	0.0007108	NA	NA	NA	NA	NA	NA	0.0007459	0.0006307	0.0006838	0.0008374	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Nonlabens>unclassified&nbsp;Nonlabens"
"Maribacter sp. MJ134"	"S"	2496865	0.76923	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76923	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9708e-05	NA	0.0006462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9708e-05	NA	0.0006462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Maribacter>unclassified&nbsp;Maribacter"
"Dokdonia sp. MED134"	"S"	313590	1.8462	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	1.8462	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	0.00011665	NA	0.0006462	NA	NA	NA	NA	NA	NA	NA	NA	0.0008703	NA	NA	0.00011665	NA	0.0006462	NA	NA	NA	NA	NA	NA	NA	NA	0.0008703	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Dokdonia>unclassified&nbsp;Dokdonia"
"Rasiella rasia"	"S"	2744027	8.1538	NA	11	NA	10	10	20	12	13	NA	14	16	NA	NA	8.1538	NA	11	NA	10	10	20	12	13	NA	14	16	NA	NA	0.00047522	NA	0.0007108	NA	0.000735	0.0006915	0.0009061	0.0006301	0.0006267	NA	0.000883	0.0009947	NA	NA	0.00047522	NA	0.0007108	NA	0.000735	0.0006915	0.0009061	0.0006301	0.0006267	NA	0.000883	0.0009947	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Rasiella"
"Psychroflexus sp. ALD_RP9"	"S"	2777186	13.923	NA	11	15	NA	13	19	16	21	16	31	28	11	NA	13.923	NA	11	15	NA	13	19	16	21	16	31	28	11	NA	0.00088563	NA	0.0007108	0.001464	NA	0.000899	0.0008608	0.0008402	0.001012	0.001193	0.001955	0.001741	0.0008374	NA	0.00088563	NA	0.0007108	0.001464	NA	0.000899	0.0008608	0.0008402	0.001012	0.001193	0.001955	0.001741	0.0008374	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Psychroflexus>unclassified&nbsp;Psychroflexus"
"Imtechella halotolerans"	"S"	1165090	11.615	NA	10	NA	12	14	16	NA	12	24	27	26	10	NA	11.615	NA	10	NA	12	14	16	NA	12	24	27	26	10	NA	0.00074384	NA	0.0006462	NA	0.000882	0.0009681	0.0007248	NA	0.0005785	0.00179	0.001703	0.001616	0.0007613	NA	0.00074384	NA	0.0006462	NA	0.000882	0.0009681	0.0007248	NA	0.0005785	0.00179	0.001703	0.001616	0.0007613	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Imtechella"
"Mangrovimonas sp. YM274"	"S"	3070660	6.7692	NA	10	NA	NA	NA	14	11	18	NA	15	20	NA	NA	6.7692	NA	10	NA	NA	NA	14	11	18	NA	15	20	NA	NA	0.00037806	NA	0.0006462	NA	NA	NA	0.0006342	0.0005776	0.0008677	NA	0.0009461	0.001243	NA	NA	0.00037806	NA	0.0006462	NA	NA	NA	0.0006342	0.0005776	0.0008677	NA	0.0009461	0.001243	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Mangrovimonas>unclassified&nbsp;Mangrovimonas"
"Hymenobacter sp. PAMC 26628"	"S"	1484118	9.4615	NA	17	NA	12	NA	15	11	17	12	14	12	13	NA	9.4615	NA	17	NA	12	NA	15	11	17	12	14	12	13	NA	0.00058234	NA	0.001098	NA	0.000882	NA	0.0006795	0.0005776	0.0008195	0.0008951	0.000883	0.000746	0.0009897	NA	0.00058234	NA	0.001098	NA	0.000882	NA	0.0006795	0.0005776	0.0008195	0.0008951	0.000883	0.000746	0.0009897	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter sp. YIM 151500-1"	"S"	2987689	3.6154	NA	12	NA	10	NA	NA	NA	NA	10	NA	15	NA	NA	3.6154	NA	12	NA	10	NA	NA	NA	NA	10	NA	15	NA	NA	0.00024529	NA	0.0007754	NA	0.000735	NA	NA	NA	NA	0.0007459	NA	0.0009325	NA	NA	0.00024529	NA	0.0007754	NA	0.000735	NA	NA	NA	NA	0.0007459	NA	0.0009325	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter>unclassified&nbsp;Hymenobacter"
"Hymenobacter qilianensis"	"S"	1385715	3.5385	NA	12	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5385	NA	12	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00031495	NA	0.0007754	0.003319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00031495	NA	0.0007754	0.003319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter tibetensis"	"S"	497967	23.769	NA	68	NA	NA	79	NA	NA	NA	74	88	NA	NA	NA	23.769	NA	68	NA	NA	79	NA	NA	NA	74	88	NA	NA	NA	0.0016098	NA	0.004394	NA	NA	0.005463	NA	NA	NA	0.005519	0.005551	NA	NA	NA	0.0016098	NA	0.004394	NA	NA	0.005463	NA	NA	NA	0.005519	0.005551	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter sediminicola"	"S"	2761579	4.9231	NA	10	NA	11	NA	10	NA	NA	NA	12	21	NA	NA	4.9231	NA	10	NA	11	NA	10	NA	NA	NA	12	21	NA	NA	0.00030535	NA	0.0006462	NA	0.0008085	NA	0.000453	NA	NA	NA	0.0007569	0.001305	NA	NA	0.00030535	NA	0.0006462	NA	0.0008085	NA	0.000453	NA	NA	NA	0.0007569	0.001305	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter baengnokdamensis"	"S"	2615203	0.76923	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76923	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9708e-05	NA	0.0006462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9708e-05	NA	0.0006462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Hymenobacter swuensis"	"S"	1446467	36.154	NA	33	NA	61	28	NA	82	94	NA	35	72	65	NA	36.154	NA	33	NA	61	28	NA	82	94	NA	35	72	65	NA	0.0022324	NA	0.002132	NA	0.004483	0.001936	NA	0.004306	0.004531	NA	0.002208	0.004476	0.004949	NA	0.0022324	NA	0.002132	NA	0.004483	0.001936	NA	0.004306	0.004531	NA	0.002208	0.004476	0.004949	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Hymenobacter"
"Nibribacter ruber"	"S"	2698458	13.462	NA	37	28	38	NA	10	15	15	18	NA	14	NA	NA	13.462	NA	37	28	38	NA	10	15	15	18	NA	14	NA	NA	0.00093032	NA	0.002391	0.002733	0.002793	NA	0.000453	0.0007877	0.0007231	0.001343	NA	0.0008703	NA	NA	0.00093032	NA	0.002391	0.002733	0.002793	NA	0.000453	0.0007877	0.0007231	0.001343	NA	0.0008703	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Hymenobacteraceae>Nibribacter"
"Tellurirhabdus bombi"	"S"	2907205	2.0769	NA	16	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	2.0769	NA	16	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	0.00014265	NA	0.001034	NA	NA	NA	NA	NA	NA	0.0008205	NA	NA	NA	NA	0.00014265	NA	0.001034	NA	NA	NA	NA	NA	NA	0.0008205	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Spirosomataceae>Tellurirhabdus"
"Spirosoma aerolatum"	"S"	1211326	6.8462	NA	17	17	24	NA	NA	13	NA	NA	18	NA	NA	NA	6.8462	NA	17	17	24	NA	NA	13	NA	NA	18	NA	NA	NA	0.00048758	NA	0.001098	0.001659	0.001764	NA	NA	0.0006826	NA	NA	0.001135	NA	NA	NA	0.00048758	NA	0.001098	0.001659	0.001764	NA	NA	0.0006826	NA	NA	0.001135	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rhododendri"	"S"	2728024	9.2308	NA	14	NA	11	NA	16	13	24	14	NA	15	13	NA	9.2308	NA	14	NA	11	NA	16	13	24	14	NA	15	13	NA	0.00055721	NA	0.0009046	NA	0.0008085	NA	0.0007248	0.0006826	0.001157	0.001044	NA	0.0009325	0.0009897	NA	0.00055721	NA	0.0009046	NA	0.0008085	NA	0.0007248	0.0006826	0.001157	0.001044	NA	0.0009325	0.0009897	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma foliorum"	"S"	2710596	9.0769	NA	13	11	10	14	17	13	NA	15	13	12	NA	NA	9.0769	NA	13	11	10	14	17	13	NA	15	13	12	NA	NA	0.00059652	NA	0.00084	0.001074	0.000735	0.0009681	0.0007701	0.0006826	NA	0.001119	0.00082	0.000746	NA	NA	0.00059652	NA	0.00084	0.001074	0.000735	0.0009681	0.0007701	0.0006826	NA	0.001119	0.00082	0.000746	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma taeanense"	"S"	2735870	5.6923	NA	10	NA	NA	12	NA	12	NA	15	13	12	NA	NA	5.6923	NA	10	NA	NA	12	NA	12	NA	15	13	12	NA	NA	0.00036855	NA	0.0006462	NA	NA	0.0008298	NA	0.0006301	NA	0.001119	0.00082	0.000746	NA	NA	0.00036855	NA	0.0006462	NA	NA	0.0008298	NA	0.0006301	NA	0.001119	0.00082	0.000746	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma aureum"	"S"	2692134	1.8462	NA	11	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	1.8462	NA	11	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	0.00012926	NA	0.0007108	NA	NA	NA	NA	NA	NA	0.0009696	NA	NA	NA	NA	0.00012926	NA	0.0007108	NA	NA	NA	NA	NA	NA	0.0009696	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Fulvivirga lutea"	"S"	2810512	13.846	NA	12	13	11	12	12	13	14	22	21	25	25	NA	13.846	NA	12	13	11	12	12	13	14	22	21	25	25	NA	0.0009236	NA	0.0007754	0.001269	0.0008085	0.0008298	0.0005436	0.0006826	0.0006749	0.001641	0.001325	0.001554	0.001903	NA	0.0009236	NA	0.0007754	0.001269	0.0008085	0.0008298	0.0005436	0.0006826	0.0006749	0.001641	0.001325	0.001554	0.001903	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Fulvivirgaceae>Fulvivirga"
"Arcticibacterium luteifluviistationis"	"S"	1784714	7.5385	NA	10	NA	NA	11	16	17	15	13	16	NA	NA	NA	7.5385	NA	10	NA	NA	11	16	17	15	13	16	NA	NA	NA	0.00044047	NA	0.0006462	NA	NA	0.0007607	0.0007248	0.0008927	0.0007231	0.0009696	0.001009	NA	NA	NA	0.00044047	NA	0.0006462	NA	NA	0.0007607	0.0007248	0.0008927	0.0007231	0.0009696	0.001009	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Leadbetterellaceae>Arcticibacterium"
"Marivirga sp. BDSF4-3"	"S"	3059078	14.154	NA	36	33	47	NA	11	NA	15	11	15	16	NA	NA	14.154	NA	36	33	47	NA	11	NA	15	11	15	16	NA	NA	0.00099875	NA	0.002326	0.003221	0.003454	NA	0.0004983	NA	0.0007231	0.0008205	0.0009461	0.0009947	NA	NA	0.00099875	NA	0.002326	0.003221	0.003454	NA	0.0004983	NA	0.0007231	0.0008205	0.0009461	0.0009947	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Marivirgaceae>Marivirga>unclassified&nbsp;Marivirga"
"Marivirga harenae"	"S"	2010992	4.6923	NA	11	NA	NA	NA	NA	10	14	13	NA	13	NA	NA	4.6923	NA	11	NA	NA	NA	NA	10	14	13	NA	13	NA	NA	0.00028374	NA	0.0007108	NA	NA	NA	NA	0.0005251	0.0006749	0.0009696	NA	0.0008082	NA	NA	0.00028374	NA	0.0007108	NA	NA	NA	NA	0.0005251	0.0006749	0.0009696	NA	0.0008082	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Cytophagia>Cytophagales>Marivirgaceae>Marivirga"
"Arachidicoccus sp. BS20"	"S"	1850526	13.385	NA	15	10	11	11	25	13	28	12	16	17	16	NA	13.385	NA	15	10	11	11	25	13	28	12	16	17	16	NA	0.00083532	NA	0.0009692	0.0009761	0.0008085	0.0007607	0.001133	0.0006826	0.00135	0.0008951	0.001009	0.001057	0.001218	NA	0.00083532	NA	0.0009692	0.0009761	0.0008085	0.0007607	0.001133	0.0006826	0.00135	0.0008951	0.001009	0.001057	0.001218	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Chitinophagia>Chitinophagales>Chitinophagaceae>Arachidicoccus>unclassified&nbsp;Arachidicoccus"
"Chlorobaculum limnaeum"	"S"	274537	12.308	NA	26	NA	23	NA	27	NA	25	18	17	24	NA	NA	12.308	NA	26	NA	23	NA	27	NA	25	18	17	24	NA	NA	0.00074654	NA	0.00168	NA	0.00169	NA	0.001223	NA	0.001205	0.001343	0.001072	0.001492	NA	NA	0.00074654	NA	0.00168	NA	0.00169	NA	0.001223	NA	0.001205	0.001343	0.001072	0.001492	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Chlorobiota>Chlorobiia>Chlorobiales>Chlorobiaceae>Chlorobaculum"
"Pelodictyon luteolum"	"S"	1100	5.9231	NA	16	NA	NA	NA	15	18	13	NA	15	NA	NA	NA	5.9231	NA	16	NA	NA	NA	15	18	13	NA	15	NA	NA	NA	0.0003255	NA	0.001034	NA	NA	NA	0.0006795	0.0009452	0.0006267	NA	0.0009461	NA	NA	NA	0.0003255	NA	0.001034	NA	NA	NA	0.0006795	0.0009452	0.0006267	NA	0.0009461	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Chlorobiota>Chlorobiia>Chlorobiales>Chlorobiaceae>Chlorobium/Pelodictyon&nbsp;group>Pelodictyon"
"Pelodictyon phaeoclathratiforme"	"S"	34090	2.9231	NA	12	NA	14	NA	NA	NA	NA	NA	NA	12	NA	NA	2.9231	NA	12	NA	14	NA	NA	NA	NA	NA	NA	12	NA	NA	0.00019618	NA	0.0007754	NA	0.001029	NA	NA	NA	NA	NA	NA	0.000746	NA	NA	0.00019618	NA	0.0007754	NA	0.001029	NA	NA	NA	NA	NA	NA	0.000746	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Chlorobiota>Chlorobiia>Chlorobiales>Chlorobiaceae>Chlorobium/Pelodictyon&nbsp;group>Pelodictyon"
"Ignavibacterium sp."	"S"	2651167	7.0769	NA	11	NA	NA	NA	17	15	NA	12	15	22	NA	NA	7.0769	NA	11	NA	NA	NA	17	15	NA	12	15	22	NA	NA	0.00042137	NA	0.0007108	NA	NA	NA	0.0007701	0.0007877	NA	0.0008951	0.0009461	0.001368	NA	NA	0.00042137	NA	0.0007108	NA	NA	NA	0.0007701	0.0007877	NA	0.0008951	0.0009461	0.001368	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Ignavibacteriota>Ignavibacteria>Ignavibacteriales>Ignavibacteriaceae>Ignavibacterium>unclassified&nbsp;Ignavibacterium"
"Campylobacter helveticus"	"S"	28898	4.3846	NA	17	NA	NA	15	NA	NA	10	NA	NA	NA	15	NA	4.3846	NA	17	NA	NA	15	NA	NA	10	NA	NA	NA	15	NA	0.00028916	NA	0.001098	NA	NA	0.001037	NA	NA	0.0004821	NA	NA	NA	0.001142	NA	0.00028916	NA	0.001098	NA	NA	0.001037	NA	NA	0.0004821	NA	NA	NA	0.001142	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacter hepaticus"	"S"	1813019	4	NA	15	16	11	NA	NA	NA	NA	NA	NA	NA	10	NA	4	NA	15	16	11	NA	NA	NA	NA	NA	NA	NA	10	NA	0.00031546	NA	0.0009692	0.001562	0.0008085	NA	NA	NA	NA	NA	NA	NA	0.0007613	NA	0.00031546	NA	0.0009692	0.001562	0.0008085	NA	NA	NA	NA	NA	NA	NA	0.0007613	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacter geochelonis"	"S"	1780362	2.7692	NA	13	NA	NA	10	NA	NA	NA	NA	NA	13	NA	NA	2.7692	NA	13	NA	NA	10	NA	NA	NA	NA	NA	13	NA	NA	0.00017998	NA	0.00084	NA	NA	0.0006915	NA	NA	NA	NA	NA	0.0008082	NA	NA	0.00017998	NA	0.00084	NA	NA	0.0006915	NA	NA	NA	NA	NA	0.0008082	NA	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Campylobacter insulaenigrae"	"S"	260714	4.6923	NA	13	NA	NA	NA	12	NA	NA	12	12	12	NA	NA	4.6923	NA	13	NA	NA	NA	12	NA	NA	12	12	12	NA	NA	0.00029089	NA	0.00084	NA	NA	NA	0.0005436	NA	NA	0.0008951	0.0007569	0.000746	NA	NA	0.00029089	NA	0.00084	NA	NA	NA	0.0005436	NA	NA	0.0008951	0.0007569	0.000746	NA	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Campylobacter"
"Sulfurimonas sp. CVO"	"S"	2283483	6.3846	NA	15	NA	11	32	NA	NA	NA	12	NA	NA	13	NA	6.3846	NA	15	NA	11	32	NA	NA	NA	12	NA	NA	13	NA	0.00045196	NA	0.0009692	NA	0.0008085	0.002213	NA	NA	NA	0.0008951	NA	NA	0.0009897	NA	0.00045196	NA	0.0009692	NA	0.0008085	0.002213	NA	NA	NA	0.0008951	NA	NA	0.0009897	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Sulfurimonadaceae>Sulfurimonas>unclassified&nbsp;Sulfurimonas"
"Sulfurimonas autotrophica"	"S"	202747	11.846	NA	36	15	24	NA	NA	NA	NA	25	30	24	NA	NA	11.846	NA	36	15	24	NA	NA	NA	NA	25	30	24	NA	NA	0.000831	NA	0.002326	0.001464	0.001764	NA	NA	NA	NA	0.001865	0.001892	0.001492	NA	NA	0.000831	NA	0.002326	0.001464	0.001764	NA	NA	NA	NA	0.001865	0.001892	0.001492	NA	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Sulfurimonadaceae>Sulfurimonas"
"Sulfurimonas aquatica"	"S"	2672570	1.7692	NA	12	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	1.7692	NA	12	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	0.00011302	NA	0.0007754	NA	NA	NA	NA	NA	NA	NA	0.0006938	NA	NA	NA	0.00011302	NA	0.0007754	NA	NA	NA	NA	NA	NA	NA	0.0006938	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Sulfurimonadaceae>Sulfurimonas"
"Helicobacter winghamensis"	"S"	157268	3.9231	NA	22	14	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9231	NA	22	14	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00029931	NA	0.001422	0.001367	0.001102	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00029931	NA	0.001422	0.001367	0.001102	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Helicobacter hepaticus"	"S"	32025	4.3846	NA	12	13	22	10	NA	NA	NA	NA	NA	NA	NA	NA	4.3846	NA	12	13	22	10	NA	NA	NA	NA	NA	NA	NA	NA	0.00033484	NA	0.0007754	0.001269	0.001617	0.0006915	NA	NA	NA	NA	NA	NA	NA	NA	0.00033484	NA	0.0007754	0.001269	0.001617	0.0006915	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
